iter	Passed	Remaining
925	9300	743
926	9306	732
927	9318	722
928	9326	712
929	9338	702
930	9347	692
931	9360	682
932	9368	672
933	9378	662
934	9389	652
935	9400	642
936	9406	632
937	9414	622
938	9422	612
939	9432	602
940	9440	591
941	9447	581
942	9455	571
943	9465	561
944	9474	551
945	9484	541
946	9493	531
947	9500	521
948	9508	511
949	9515	500
950	9523	490
951	9532	480
952	9539	470
953	9548	460
954	9555	450
955	9564	440
956	9572	430
957	9582	420
958	9595	410
959	9602	400
960	9611	390
961	9620	380
962	9628	369
963	9637	359
964	9646	349
965	9653	339
966	9659	329
967	9668	319
968	9674	309
969	9680	299
970	9688	289
971	9695	279
972	9703	269
973	9711	259
974	9720	249
975	9728	239
976	9734	229
977	9743	219
978	9748	209
979	9757	199
980	9763	189
981	9771	179
982	9777	169
983	9783	159
984	9794	149
985	9801	139
986	9808	129
987	9816	119
988	9822	109
989	9829	99
990	9834	89
991	9843	79
992	9853	69
993	9860	59
994	9868	49
995	9876	39
996	9883	29
997	9893	19
998	9900	9
999	9910	0
